Container_ID,Weight_ton,Size
CONT0001,14.630345232525523,20
CONT0002,7.286935427757825,20
CONT0003,22.954064688599004,20
CONT0004,14.173881449039314,20
CONT0005,16.856992302301833,40
CONT0006,13.88761963223853,40
CONT0007,5.502594323964224,40
CONT0008,12.144616301473544,40
CONT0009,16.996159165447974,20
CONT0010,11.356874189514041,20
CONT0011,20.40069159969557,20
CONT0012,7.3986587693226,20
CONT0013,27.500715729182005,20
CONT0014,7.444041854352425,20
CONT0015,15.762293917639463,20
CONT0016,18.25374921574258,20
CONT0017,6.487021259857773,40
CONT0018,21.797861207228987,40
CONT0019,13.43145370825153,40
CONT0020,5.9327644442838805,20
CONT0021,27.741035305899036,20
CONT0022,16.84867163907637,20
CONT0023,6.837941126977909,20
CONT0024,18.55216442263461,20
CONT0025,16.17715648421483,20
CONT0026,9.283870907705683,20
CONT0027,26.426086031763422,20
CONT0028,19.308287564863797,20
CONT0029,10.625583844924643,40
CONT0030,24.89932773632874,20
CONT0031,18.088298162275674,40
CONT0032,11.921691761265881,40
CONT0033,9.037382361200287,40
CONT0034,20.812786676520503,20
CONT0035,14.511905428505644,20
CONT0036,22.123238088428756,20
CONT0037,20.302213321080448,40
CONT0038,12.135050677235494,20
CONT0039,15.817263403486944,40
CONT0040,23.992910883536506,20
CONT0041,27.22228405394382,20
CONT0042,21.56982042629867,20
CONT0043,25.671816323181343,40
CONT0044,25.986670207766732,40
CONT0045,27.853130678879687,40
CONT0046,5.366538503640515,20
CONT0047,16.58282078391843,40
CONT0048,19.47899903269427,20
CONT0049,18.819874636006254,20
CONT0050,9.084685295990763,40
CONT0051,8.689722920949444,20
CONT0052,12.503549143207977,20
CONT0053,18.675526770612215,20
CONT0054,23.856601167188376,20
CONT0055,24.848253534412837,20
CONT0056,5.4291239604804815,40
CONT0057,6.453638728002984,20
CONT0058,24.223874317335824,20
CONT0059,7.503642091931939,20
CONT0060,27.87069188583103,20
CONT0061,8.193231981972865,40
CONT0062,10.906716793767607,40
CONT0063,25.26784052382411,20
CONT0064,7.096210173042495,40
CONT0065,15.482024845902009,20
CONT0066,24.636608288277184,40
CONT0067,11.007157128870745,20
CONT0068,26.533702346345795,20
CONT0069,13.260713680907951,20
CONT0070,6.33675249615332,20
CONT0071,15.080864097240173,40
CONT0072,6.734472890428591,20
CONT0073,9.439277449202965,40
CONT0074,10.781341143551812,20
CONT0075,19.017908057003737,20
CONT0076,19.41593619415556,20
CONT0077,27.213539358276247,20
CONT0078,21.3870823534226,40
CONT0079,24.90440356210632,20
CONT0080,13.271041355856124,20
CONT0081,10.666016419297904,20
CONT0082,23.155446834745685,20
CONT0083,5.553689692604028,40
CONT0084,5.430129160235682,20
CONT0085,24.405534287905088,20
CONT0086,25.54555545789904,20
CONT0087,10.867189163676509,40
CONT0088,23.808876223783585,20
CONT0089,8.851946298543627,40
CONT0090,6.158348043759554,40
CONT0091,16.872628967456603,20
CONT0092,8.385907457617645,40
CONT0093,14.820559859264055,20
CONT0094,18.974074529527556,20
CONT0095,7.1029493821177345,20
CONT0096,6.048280139935688,40
CONT0097,16.52136351655246,20
CONT0098,22.301515241574503,40
CONT0099,19.948308313762514,40
CONT0100,17.058780929627197,20
CONT0101,5.648367239203061,20
CONT0102,17.47671260051971,20
CONT0103,9.425419089928205,40
CONT0104,19.60388638094598,40
CONT0105,6.9941483006724905,20
CONT0106,7.781741311334908,20
CONT0107,23.864012546308327,40
CONT0108,10.617766445910878,20
CONT0109,25.669670459749646,20
CONT0110,26.54625391523841,20
CONT0111,11.212053313424699,40
CONT0112,20.81330336737061,20
CONT0113,25.96314887238108,20
CONT0114,23.196820110819882,40
CONT0115,12.527396769353066,20
CONT0116,19.203174198528405,40
CONT0117,24.543340027118862,40
CONT0118,8.687603165866527,20
CONT0119,5.95932431206866,40
CONT0120,7.959086716427675,20
CONT0121,10.677645960169023,40
CONT0122,8.162175723581397,20
CONT0123,9.537055676114676,40
CONT0124,23.28549714979644,40
CONT0125,20.330757982742234,20
CONT0126,9.099798072384814,20
CONT0127,14.8465015965898,40
CONT0128,24.709764797766425,40
CONT0129,22.882518434638975,20
CONT0130,12.250319063638402,40
CONT0131,12.968172059739699,40
CONT0132,25.01462568814933,20
CONT0133,12.512653889028622,20
CONT0134,23.287023015092714,40
CONT0135,23.216568123768425,40
CONT0136,18.950814540911885,20
CONT0137,10.373181538239253,40
CONT0138,16.04135812058693,20
CONT0139,26.852443948748007,20
CONT0140,25.574816317745828,40
CONT0141,8.55821516363233,40
CONT0142,22.613369247868583,40
CONT0143,9.911785774421155,20
CONT0144,25.53927958887756,20
CONT0145,13.177307056721254,40
CONT0146,10.40243622148405,20
CONT0147,17.346438246908065,40
CONT0148,10.165310365303567,20
CONT0149,24.241599662917963,20
CONT0150,20.110395180855885,20
CONT0151,9.181485494454517,20
